"","baseMean","log2FoldChange","lfcSE","pvalue","padj","baseMean.siCtrlBH5","baseMean.siCtrlBH5_dsDNA","symbol","entrez"
"ENSG00000281518",0,0,1.36586507673863,NA,NA,0,0,"FOXO6","100132074"
"ENSG00000281877",0,0,1.36586507673863,NA,NA,0,0,"RPS6KA1","6195"
"ENSG00000281917",0,0,1.36586507673863,NA,NA,0,0,"SLC16A1","6566"
"ENSG00000281626",0,0,1.36586507673863,NA,NA,0,0,"ZNF852","285346"
"ENSG00000281894",0,0,1.36586507673863,NA,NA,0,0,"ZKSCAN7","55888"
"ENSG00000280661",0,0,1.36586507673863,NA,NA,0,0,"ZNF660","285349"
"ENSG00000281709",0,0,1.36586507673863,NA,NA,0,0,"ZNF197","10168"
"ENSG00000281306",0,0,1.36586507673863,NA,NA,0,0,"ZNF35","7584"
"ENSG00000281448",0,0,1.36586507673863,NA,NA,0,0,"ZNF502","91392"
"ENSG00000281661",0,0,1.36586507673863,NA,NA,0,0,"ZNF501","115560"
"ENSG00000281665",0,0,1.36586507673863,NA,NA,0,0,"KIAA1143","57456"
"ENSG00000280610",0,0,1.36586507673863,NA,NA,0,0,"KIF15","56992"
"ENSG00000280516",0,0,1.36586507673863,NA,NA,0,0,"TMEM42","131616"
"ENSG00000281886",0,0,1.36586507673863,NA,NA,0,0,"TGM4","7047"
"ENSG00000280584",0,0,1.36586507673863,NA,NA,0,0,"OBP2B","29989"
"ENSG00000281879",0,0,1.36586507673863,NA,NA,0,0,"ABO","28"
"ENSG00000281309",0,0,1.36586507673863,NA,NA,0,0,"SURF6","6838"
"ENSG00000281022",0,0,1.36586507673863,NA,NA,0,0,"MED22","6837"
"ENSG00000280858",0,0,1.36586507673863,NA,NA,0,0,"RPL7A","6130"
"ENSG00000280627",0,0,1.36586507673863,NA,NA,0,0,"SURF1","6834"
"ENSG00000281024",0,0,1.36586507673863,NA,NA,0,0,"SURF2","6835"
"ENSG00000280951",0,0,1.36586507673863,NA,NA,0,0,"SURF4","6836"
"ENSG00000281245",0,0,1.36586507673863,NA,NA,0,0,"STKLD1","169436"
"ENSG00000280706",0,0,1.36586507673863,NA,NA,0,0,"REXO4","57109"
"ENSG00000281244",0,0,1.36586507673863,NA,NA,0,0,"ADAMTS13","11093"
"ENSG00000280479",0,0,1.36586507673863,NA,NA,0,0,"CACFD1","11094"
"ENSG00000281165",0,0,1.36586507673863,NA,NA,0,0,"SLC2A6","11182"
"ENSG00000281813",0,0,1.36586507673863,NA,NA,0,0,"KAT6B","23522"
