SRR7049609	SRR7049610	SRR7049611	SRR7049612	SRR7049615	SRR7049616
ENSG00000281518	0	0	0	0	0	0
ENSG00000281877	0	0	0	0	0	0
ENSG00000281917	0	0	0	0	0	0
ENSG00000281626	0	0	0	0	0	0
ENSG00000281894	0	0	0	0	0	0
ENSG00000280661	0	0	0	0	0	0
ENSG00000281709	0	0	0	0	0	0
ENSG00000281306	0	0	0	0	0	0
ENSG00000281448	0	0	0	0	0	0
ENSG00000281661	0	0	0	0	0	0
ENSG00000281665	0	0	0	0	0	0
ENSG00000280610	0	0	0	0	0	0
ENSG00000280516	0	0	0	0	0	0
ENSG00000281886	0	0	0	0	0	0
ENSG00000280584	0	0	0	0	0	0
ENSG00000281879	0	0	0	0	0	0
ENSG00000281309	0	0	0	0	0	0
ENSG00000281022	0	0	0	0	0	0
ENSG00000280858	0	0	0	0	0	0
ENSG00000280627	0	0	0	0	0	0
ENSG00000281024	0	0	0	0	0	0
ENSG00000280951	0	0	0	0	0	0
ENSG00000281245	0	0	0	0	0	0
ENSG00000280706	0	0	0	0	0	0
ENSG00000281244	0	0	0	0	0	0
ENSG00000280479	0	0	0	0	0	0
ENSG00000281165	0	0	0	0	0	0
ENSG00000281813	0	0	0	0	0	0
ENSG00000281660	0	0	0	0	0	0
ENSG00000281277	0	0	0	0	0	0
ENSG00000280975	0	0	0	0	0	0
ENSG00000280831	0	0	0	0	0	0
ENSG00000280495	0	0	0	0	0	0
ENSG00000281500	0	0	0	0	0	0
ENSG00000280682	0	0	0	0	0	0
ENSG00000280616	0	0	0	0	0	0
ENSG00000280774	0	0	0	0	0	0
ENSG00000281320	0	0	0	0	0	0
ENSG00000280548	0	0	0	0	0	0
ENSG00000281123	0	0	0	0	0	0
ENSG00000281221	0	0	0	0	0	0
ENSG00000281526	0	0	0	0	0	0
ENSG00000281601	0	0	0	0	0	0
ENSG00000280568	0	0	0	0	0	0
ENSG00000281013	0	0	0	0	0	0
ENSG00000281757	0	0	0	0	0	0
ENSG00000280905	0	0	0	0	0	0
ENSG00000281230	0	0	0	0	0	0
ENSG00000280680	0	0	0	0	0	0
ENSG00000281459	0	0	0	0	0	0
ENSG00000280549	0	0	0	0	0	0
ENSG00000280908	0	0	0	0	0	0
ENSG00000280949	0	0	0	0	0	0
ENSG00000281540	0	0	0	0	0	0
ENSG00000281614	0	0	0	0	0	0
ENSG00000281089	0	0	0	0	0	0
ENSG00000281857	0	0	0	0	0	0
ENSG00000281766	0	0	0	0	0	0
ENSG00000280931	0	0	0	0	0	0
ENSG00000280808	0	0	0	0	0	0
ENSG00000280899	0	0	0	0	0	0
ENSG00000281680	0	0	0	0	0	0
ENSG00000281166	0	0	0	0	0	0
ENSG00000281449	0	0	0	0	0	0
ENSG00000281324	0	0	0	0	0	0
ENSG00000281818	0	0	0	0	0	0
ENSG00000280689	0	0	0	0	0	0
ENSG00000280962	0	0	0	0	0	0
ENSG00000280477	0	0	0	0	0	0
ENSG00000281934	0	0	0	0	0	0
ENSG00000282175	0	0	0	0	0	0
ENSG00000282817	0	0	0	0	0	0
ENSG00000282584	0	0	0	0	0	0
ENSG00000282663	0	0	0	0	0	0
ENSG00000279195	0	0	0	0	0	0
ENSG00000282119	0	0	0	0	0	0
ENSG00000281987	0	0	0	0	0	0
ENSG00000282437	0	0	0	0	0	0
ENSG00000282566	0	0	0	0	0	0
ENSG00000282559	0	0	0	0	0	0
ENSG00000282530	0	0	0	0	0	0
ENSG00000282095	0	0	0	0	0	0
ENSG00000282298	0	0	0	0	0	0
ENSG00000282741	0	0	0	0	0	0
ENSG00000282212	0	0	0	0	0	0
ENSG00000282424	0	0	0	0	0	0
