SRR7049609	SRR7049610	SRR7049611	SRR7049612	SRR7049615	SRR7049616
ENSG00000000003	8	0	4	15	6	2
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	0	0	3	10	0	0
ENSG00000000457	12	29	23	23	17	11
ENSG00000000460	33	39	39	56	50	56
ENSG00000000938	0	0	0	0	1	0
ENSG00000000971	45	12	5	15	24	38
ENSG00000001036	16	17	11	15	11	19
ENSG00000001084	11	8	5	8	4	8
ENSG00000001167	9	11	9	15	4	3
ENSG00000001460	1	0	3	0	3	3
ENSG00000001461	13	14	8	18	4	7
ENSG00000001497	10	0	14	15	13	7
ENSG00000001561	0	0	0	0	0	0
ENSG00000001617	1	0	0	3	3	2
ENSG00000001626	0	0	0	0	0	0
ENSG00000001629	11	1	5	8	11	10
ENSG00000001630	39	76	100	103	37	27
ENSG00000001631	10	4	1	12	6	9
ENSG00000002016	3	3	8	2	4	3
ENSG00000002330	3	5	2	8	2	2
ENSG00000002549	16	3	1	1	19	32
ENSG00000002586	34	22	10	22	14	32
ENSG00000002587	0	1	2	0	0	0
ENSG00000002726	1	2	0	2	0	0
ENSG00000002745	0	0	0	0	0	0
ENSG00000002746	2	4	1	5	4	4
ENSG00000002822	5	5	1	1	1	1
ENSG00000002834	29	57	32	52	26	16
ENSG00000002919	1	0	1	1	1	0
ENSG00000002933	1	1	0	0	0	3
ENSG00000003056	142	185	188	251	109	109
ENSG00000003096	0	1	0	2	0	1
ENSG00000003137	5	1	2	1	3	4
ENSG00000003147	11	8	10	9	9	7
ENSG00000003249	0	1	0	3	1	0
ENSG00000003393	6	4	7	23	8	2
ENSG00000003400	39	16	20	34	30	30
ENSG00000003402	105	138	91	123	105	114
ENSG00000003436	34	36	17	32	24	25
ENSG00000003509	17	24	40	42	16	16
ENSG00000003756	31	36	37	56	18	35
ENSG00000003987	30	43	41	50	33	19
ENSG00000003989	0	0	0	1	0	0
ENSG00000004059	4	1	0	1	0	0
ENSG00000004139	28	187	125	176	29	28
ENSG00000004142	47	60	53	67	61	78
ENSG00000004399	1	0	0	5	1	1
ENSG00000004455	18	15	5	27	12	24
ENSG00000004468	3	0	1	1	11	9
ENSG00000004478	4	10	8	8	5	7
ENSG00000004487	19	36	37	32	16	14
ENSG00000004534	15	24	14	29	10	12
ENSG00000004660	0	1	0	1	0	0
ENSG00000004700	42	34	30	63	27	31
ENSG00000004766	1	2	0	2	4	0
ENSG00000004776	17	4	0	3	15	5
ENSG00000004777	0	1	0	0	0	0
ENSG00000004779	0	1	2	1	0	0
ENSG00000004799	2	0	1	1	0	2
ENSG00000004809	1	0	0	0	0	0
ENSG00000004838	6	10	13	10	2	1
ENSG00000004846	2	0	3	1	2	0
ENSG00000004848	0	0	0	1	0	0
ENSG00000004864	0	1	1	5	1	1
ENSG00000004866	10	9	1	6	10	5
ENSG00000004897	7	2	15	3	10	10
ENSG00000004939	2	4	7	5	0	6
ENSG00000004948	0	0	0	0	0	0
ENSG00000004961	27	17	15	25	21	32
ENSG00000004975	2	11	0	1	3	0
ENSG00000005001	1	0	0	0	0	0
ENSG00000005007	15	13	6	6	11	11
ENSG00000005020	2	7	1	6	1	3
ENSG00000005022	4	12	6	5	1	3
ENSG00000005059	3	5	3	4	0	1
ENSG00000005073	13	15	5	8	17	11
ENSG00000005075	3	21	6	13	2	10
ENSG00000005100	1	1	0	1	4	3
ENSG00000005102	0	0	0	0	0	0
ENSG00000005108	0	1	0	0	0	0
ENSG00000005156	31	36	75	69	28	24
ENSG00000005175	7	1	4	3	2	1
ENSG00000005187	4	13	22	14	9	4
ENSG00000005189	2	0	2	5	7	3
ENSG00000005194	2	2	5	2	1	4
ENSG00000005206	0	2	3	2	1	0
ENSG00000005238	2	0	0	2	1	3
