SRR7049609	SRR7049610	SRR7049611	SRR7049612	SRR7049615	SRR7049616
ENSG00000000003	464	524	835	812	478	474
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	159	129	157	151	176	121
ENSG00000000457	261	222	288	281	275	301
ENSG00000000460	54	152	121	155	74	49
ENSG00000000938	22	3	3	1	21	21
ENSG00000000971	4552	1095	1466	1639	4241	4619
ENSG00000001036	3001	2587	2821	3107	3028	3184
ENSG00000001084	725	401	467	520	569	655
ENSG00000001167	352	595	569	630	322	284
ENSG00000001460	53	186	167	183	81	45
ENSG00000001461	927	868	777	786	1304	1091
ENSG00000001497	384	549	539	503	355	338
ENSG00000001561	7	12	20	12	5	8
ENSG00000001617	450	321	246	282	576	492
ENSG00000001626	0	1	0	0	0	0
ENSG00000001629	3601	1672	1882	1698	3621	3529
ENSG00000001630	1390	2895	3223	2910	1524	1279
ENSG00000001631	169	277	256	409	185	188
ENSG00000002016	47	196	168	250	49	52
ENSG00000002330	45	121	103	163	46	52
ENSG00000002549	20777	1286	1385	1479	19205	19507
ENSG00000002586	5210	4440	3734	4940	4900	4823
ENSG00000002587	0	1	3	1	0	0
ENSG00000002726	1	2	0	2	0	0
ENSG00000002745	10	0	0	0	10	4
ENSG00000002746	78	201	155	180	77	48
ENSG00000002822	631	685	531	638	691	614
ENSG00000002834	5665	13047	11163	12847	6224	5585
ENSG00000002919	143	157	100	153	132	166
ENSG00000002933	66	94	71	76	100	93
ENSG00000003056	3788	2236	2339	2540	3624	3946
ENSG00000003096	27	86	107	127	46	51
ENSG00000003137	613	259	259	293	638	619
ENSG00000003147	13	8	13	11	8	9
ENSG00000003249	56	92	90	132	41	36
ENSG00000003393	836	1635	1584	1704	861	865
ENSG00000003400	156	60	56	87	125	162
ENSG00000003402	4930	1610	1413	1565	5203	4954
ENSG00000003436	1371	1607	1734	1991	1356	1217
ENSG00000003509	88	145	254	216	105	100
ENSG00000003756	2025	2568	2575	3150	1955	2161
ENSG00000003987	9	19	20	19	17	7
ENSG00000003989	3	3	3	5	3	6
ENSG00000004059	1158	1874	1801	2371	1105	1037
ENSG00000004139	119	382	237	299	121	109
ENSG00000004142	1498	2938	2458	2787	1559	1560
ENSG00000004399	301	597	1186	1259	314	321
ENSG00000004455	2353	2235	2034	2334	2279	2258
ENSG00000004468	2899	10	14	11	2615	2828
ENSG00000004478	725	1299	1042	1256	738	760
ENSG00000004487	436	1368	1467	1531	528	464
ENSG00000004534	999	1611	1503	1837	869	936
ENSG00000004660	66	223	149	187	51	59
